iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
156,0.001038,58.038145,-0.360163,0.009509,0.105469,14.510935,4.0,0.01,5.0,,0.3428,1713.8988,5000.0,87.112619,20.0,7569.0,40.0
157,0.05232,79.253139,-0.360235,0.008257,0.105469,19.865965,4.0,0.01,5.0,,0.2874,1436.7919,5000.0,90.836364,20.0,7569.0,40.0
158,0.145451,26.532118,-0.36018,0.010414,0.135417,6.778841,3.0,0.01,5.0,,0.3006,1502.9088,5000.0,89.245725,20.0,7519.0,40.0
159,-0.01729,83.876196,-0.360117,0.010708,0.128906,20.952119,4.0,0.01,5.0,,0.2807,1403.3291,5000.0,90.458408,20.0,7519.0,40.0
160,0.045031,48.474803,-0.359765,0.010276,0.083333,12.164091,3.0,0.01,5.0,,0.2898,1448.8683,5000.0,88.814732,20.0,7519.0,40.0
161,-0.036169,83.420628,-0.359264,0.009513,0.082031,20.819346,4.0,0.01,5.0,,0.358,1789.9509,5000.0,91.148472,20.0,7533.0,40.0
162,0.02557,20.23294,-0.35888,0.007392,0.046875,5.084164,3.0,0.01,5.0,,0.2295,1147.6377,5000.0,85.816673,20.0,7533.0,40.0
163,0.020865,62.42442,-0.359106,0.01231,0.140625,15.62733,4.0,0.01,5.0,,0.3106,1553.0665,5000.0,90.90937,20.0,7464.0,40.0
164,0.00417,54.681784,-0.359335,0.00709,0.083333,13.674976,3.0,0.01,5.0,,0.247,1234.8186,5000.0,85.761594,20.0,7464.0,40.0
165,-0.02775,69.609083,-0.359346,0.006926,0.067708,17.374879,3.0,0.01,5.0,,0.3205,1602.4427,5000.0,81.644954,20.0,7464.0,40.0
166,0.181821,65.884924,-0.359436,0.010982,0.089844,16.65341,4.0,0.01,5.0,,0.2993,1496.7413,5000.0,84.841625,20.0,7464.0,40.0
